Starting Python script...
Python process started asynchronously.
Starting Python script...
Python process started asynchronously.
Starting Python script...
Python process started asynchronously.
Starting Python script...
Python process started asynchronously.
Starting Python script...
Python process started asynchronously.
Starting Python script...
Python process started asynchronously.
ERROR: pybullet build time: Jul 20 2024 21:48:44
Connected by ('127.0.0.1', 60471)
Received: C:\Users\Ayman Tarek\Desktop\pubullet_data\pybullet_data\franka_panda\panda.urdf,, (0.00, 5.00, 0.00),,(0.00000, 0.00000, 0.00000, 1.00000),, 1
(ExtExcitedDc),, (0, 0),, (1, 3)
starting message: C:\Users\Ayman Tarek\Desktop\pubullet_data\pybullet_data\franka_panda\panda.urdf,, (0.00, 5.00, 0.00),,(0.00000, 0.00000, 0.00000, 1.00000),, 1
(ExtExcitedDc),, (0, 0),, (1, 3)
Number of Parts: 2
Split Parts: ['C:\\Users\\Ayman Tarek\\Desktop\\pubullet_data\\pybullet_data\\franka_panda\\panda.urdf,, (0.00, 5.00, 0.00),,(0.00000, 0.00000, 0.00000, 1.00000),, 1', '(ExtExcitedDc),, (0, 0),, (1, 3)']
Urls: ['C:\\Users\\Ayman Tarek\\Desktop\\pubullet_data\\pybullet_data\\franka_panda\\panda.urdf']
Positions: [[0.0, 5.0, 0.0]]
Orientations: [[0.0, 0.0, 0.0, 1.0]]
Scalings: [1.0]
Motor Names: ['ExtExcitedDc']
Corresponding Robot Numbers: [0, 0]
Corresponding Joints: [1, 3]
env  0  :  [400.  38. 210. 210.  60.  60.  60.]
Motor 0, Step 0: omega: 0.00020877742186228775, torque: 0.11168009300899805, i_a: 59.67539360602271, i_e: 1.1008586351679126, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 18: omega: 0.07275089642208787, torque: 1.8148141166930438, i_a: 59.99074077347645, i_e: 17.795041400351874, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 19: omega: 0.0801424452253255, torque: 1.893827970655928, i_a: 59.992359547817856, i_e: 18.569305520298336, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 20: omega: 0.08784498446795738, torque: 1.9750992717586795, i_a: 60.106947561648845, i_e: 19.32926472173438, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 21: omega: 0.09585532126828232, torque: 2.047949241538639, i_a: 60.00745710672428, i_e: 20.07543866243085, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 22: omega: 0.1041645751034264, torque: 2.1223749590762533, i_a: 59.99917477679457, i_e: 20.807883823812272, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 23: omega: 0.11277380427578046, torque: 2.1927614478943105, i_a: 59.9189286518501, i_e: 21.526747961841618, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 24: omega: 0.12166425403909678, torque: 2.2672754124820313, i_a: 59.98809001781883, i_e: 22.232603483640144, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 25: omega: 0.13084146473030206, torque: 2.338088092193419, i_a: 59.992049932266305, i_e: 22.925469927051854, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 26: omega: 0.14029803564130403, torque: 2.411607187703771, i_a: 60.09594362484137, i_e: 23.605461164083753, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 27: omega: 0.15003065796284712, torque: 2.4764508307087207, i_a: 60.014354004671056, i_e: 24.273122770870025, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 28: omega: 0.16002922923931617, torque: 2.5425173851586558, i_a: 59.995342692835806, i_e: 24.928576031562965, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 29: omega: 0.17029832371931147, torque: 2.604406186150343, i_a: 59.909893668647115, i_e: 25.57179699542208, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 30: omega: 0.18081773941395904, torque: 2.6715715646204905, i_a: 59.973657188650236, i_e: 26.20338259725603, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 31: omega: 0.1915918576109204, torque: 2.735511416734482, i_a: 59.989523109093305, i_e: 26.823423147717534, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 32: omega: 0.2026176901580432, torque: 2.8018260764127514, i_a: 60.08097367328789, i_e: 27.431862124729694, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 33: omega: 0.21388954300537033, torque: 2.859646885653919, i_a: 60.01373811475011, i_e: 28.029335943694704, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 34: omega: 0.22539947721070466, torque: 2.9183946722297183, i_a: 59.99125554382403, i_e: 28.61588297841773, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 35: omega: 0.23715441854379807, torque: 2.9712670487335973, i_a: 59.873898508410576, i_e: 29.191420466271524, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 36: omega: 0.2491287355817827, torque: 3.0325805915141726, i_a: 59.94869961569322, i_e: 29.75662437418126, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 37: omega: 0.2613311589952877, torque: 3.0909029591918573, i_a: 59.98313745495685, i_e: 30.311489002299236, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 38: omega: 0.2737587772550724, torque: 3.1464338861095102, i_a: 59.98298385416957, i_e: 30.856141917133094, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 39: omega: 0.2864055413080251, torque: 3.200874261244557, i_a: 59.98149842370309, i_e: 31.390799862924723, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 40: omega: 0.29926716720187513, torque: 3.254377155574178, i_a: 59.98121135329693, i_e: 31.915652586661288, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 41: omega: 0.31233993324991316, torque: 3.3068311769247587, i_a: 59.97972231513209, i_e: 32.43087388327227, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 42: omega: 0.3256197234498936, torque: 3.3583796146865277, i_a: 59.97931327868316, i_e: 32.93664619374603, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 43: omega: 0.3391029388098811, torque: 3.4089190212673413, i_a: 59.97781364323944, i_e: 33.43313737686507, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 44: omega: 0.3527856233514109, torque: 3.4585839024878147, i_a: 59.97729238108097, i_e: 33.920522890296766, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 45: omega: 0.3666642981010802, torque: 3.507277867426714, i_a: 59.975776560227764, i_e: 34.39896481917653, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 46: omega: 0.3807351597353408, torque: 3.555127517942871, i_a: 59.97515144017522, i_e: 34.86863194049412, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 47: omega: 0.3949948464720575, torque: 3.60204273777007, i_a: 59.97361497459161, i_e: 35.32968073000406, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 48: omega: 0.40943970076226927, torque: 3.648143005892849, i_a: 59.97289328000378, i_e: 35.78227356875122, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 49: omega: 0.4240664750853485, torque: 3.693343787234228, i_a: 59.971332628203946, i_e: 36.22656148780624, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 50: omega: 0.4388716512192544, torque: 3.7377581359026637, i_a: 59.97052077407014, i_e: 36.66270074086117, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 51: omega: 0.4538520929103845, torque: 3.7813064794726, i_a: 59.96893314649579, i_e: 37.090837078389875, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 52: omega: 0.469004415202467, torque: 3.8240960743566323, i_a: 59.96803684402684, i_e: 37.51112088067917, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 53: omega: 0.48432559007945564, torque: 3.866051756220915, i_a: 59.96642007072368, i_e: 37.92369278026856, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 54: omega: 0.499812360137517, torque: 3.9072755501200986, i_a: 59.96544445443446, i_e: 38.3286975246228, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 55: omega: 0.5154618025573217, torque: 3.947696200245046, i_a: 59.96379687819329, i_e: 38.72627078894591, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 56: omega: 0.5312707820891016, torque: 3.9874110140571175, i_a: 59.96274660523195, i_e: 39.11655191620555, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 57: omega: 0.5472364780769031, torque: 4.026352192188571, i_a: 59.961066994339596, i_e: 39.49967178230603, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 58: omega: 0.5633558723133844, torque: 4.064612792671929, i_a: 59.9599463229977, i_e: 39.87576454274897, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 59: omega: 0.5796262432952705, torque: 4.102128061604067, i_a: 59.95823379929811, i_e: 40.244956429223066, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 60: omega: 0.5960446850082616, torque: 4.138987236123154, i_a: 59.95704665171339, i_e: 40.607376616348304, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 61: omega: 0.6126085721258893, torque: 4.175128232426343, i_a: 59.95530063076763, i_e: 40.96314684343127, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 62: omega: 0.6293151062183518, torque: 4.21063686084352, i_a: 59.95405064350026, i_e: 41.312391501097245, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 63: omega: 0.6461617552047441, torque: 4.245453363125192, i_a: 59.952270784409734, i_e: 41.655227984627345, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 64: omega: 0.6631458238531771, torque: 4.279660486983822, i_a: 59.95096134963253, i_e: 41.99177608850858, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 65: omega: 0.680264870449576, torque: 4.313200481758361, i_a: 59.949147512651045, i_e: 42.32214900870922, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 66: omega: 0.6975162987785658, torque: 4.346153370887354, i_a: 59.94778181202244, i_e: 42.6464621230007, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 67: omega: 0.7148977546730004, torque: 4.378463116130979, i_a: 59.945934022493105, i_e: 42.964824568988504, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 68: omega: 0.7324067369428087, torque: 4.4102073327896605, i_a: 59.94451505529329, i_e: 43.27734747925449, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 69: omega: 0.7500409762117523, torque: 4.441331419255362, i_a: 59.942633472754075, i_e: 43.58413607014972, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 70: omega: 0.7677980625005384, torque: 4.471910879928414, i_a: 59.941164079505846, i_e: 43.885297393181396, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 71: omega: 0.7856758085357108, torque: 4.5018922902941325, i_a: 59.939248971036086, i_e: 44.18093287666634, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 72: omega: 0.803671891898678, torque: 4.531349325238866, i_a: 59.93773185356753, i_e: 44.47114564818211, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 73: omega: 0.8217842048017096, torque: 4.560229491159887, i_a: 59.93578357062326, i_e: 44.756033477323065, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 74: omega: 0.8400105088901251, torque: 4.588604901801778, i_a: 59.93422130932797, i_e: 45.03569571831501, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 75: omega: 0.858348773318427, torque: 4.61642375893575, i_a: 59.932240267447376, i_e: 45.31022660743472, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 76: omega: 0.8767968404420966, torque: 4.6437568732030154, i_a: 59.930635336350406, i_e: 45.57972186993618, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 77: omega: 0.8953527538898963, torque: 4.67055291427324, i_a: 59.92862199721281, i_e: 45.84427233029537, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 78: omega: 0.9140144335072798, torque: 4.696881639956606, i_a: 59.926976777335454, i_e: 46.10397022331646, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 79: omega: 0.9327799950063498, torque: 4.722691965916398, i_a: 59.92493163273665, i_e: 46.35890307933611, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 80: omega: 0.9516474326270787, torque: 4.748052842136478, i_a: 59.92324842416891, i_e: 46.60915977568714, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 81: omega: 0.97061493185226, torque: 4.772913211494391, i_a: 59.921171981536276, i_e: 46.85482466241684, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 82: omega: 0.9896805583373753, torque: 4.797341458355701, i_a: 59.919453014560005, i_e: 47.09598338711354, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 83: omega: 1.0088425651025192, torque: 4.821286334718386, i_a: 59.917345783676154, i_e: 47.33271722962593, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 84: omega: 1.0280990863482766, torque: 4.844815901226378, i_a: 59.91559322923618, i_e: 47.56510873054545, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 85: omega: 1.0474484404787578, torque: 4.867878499112582, i_a: 59.91345570987376, i_e: 47.79323620591227, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 86: omega: 1.0668888274703525, torque: 4.89054210942771, i_a: 59.9116716896592, i_e: 48.0171792073444, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 87: omega: 1.086418629038793, torque: 4.912754438403709, i_a: 59.909504359853095, i_e: 48.23701318982617, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 88: omega: 1.106036108260853, torque: 4.934583636504813, i_a: 59.90769095622873, i_e: 48.45281482954131, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 89: omega: 1.1257397081731741, torque: 4.955976543688013, i_a: 59.90549426092641, i_e: 48.664656819599635, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 90: omega: 1.1455277523643315, torque: 4.977001736515869, i_a: 59.90365352694087, i_e: 48.87261307003222, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 91: omega: 1.1653987432837176, torque: 4.997604947489683, i_a: 59.90142786677836, i_e: 49.07675360775183, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 92: omega: 1.1853510625230188, torque: 5.017855446640821, i_a: 59.899561836471214, i_e: 49.27714968187636, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 93: omega: 1.2053832701198095, torque: 5.037697604819935, i_a: 59.89730755642131, i_e: 49.47386874536289, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 94: omega: 1.225493806272399, torque: 5.057199736191206, i_a: 59.89539547574832, i_e: 49.66697941638317, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 95: omega: 1.2456812824621963, torque: 5.076308157770739, i_a: 59.89310968132155, i_e: 49.85654673978841, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 96: omega: 1.2659441929626012, torque: 5.0950912846994685, i_a: 59.89117895767293, i_e: 50.042636871944204, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 97: omega: 1.28628120408067, torque: 5.113492716702259, i_a: 59.88886370249425, i_e: 50.22531245742312, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 98: omega: 1.3066908605820493, torque: 5.1315830399167295, i_a: 59.886915599531584, i_e: 50.404637282708165, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 99: omega: 1.3271718816547815, torque: 5.14930316629918, i_a: 59.884571753139035, i_e: 50.58067167976626, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 100: omega: 1.347722860606895, torque: 5.1667259382411, i_a: 59.88260750789825, i_e: 50.75347715120231, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 101: omega: 1.3683425677124568, torque: 5.183789510643897, i_a: 59.880235901084916, i_e: 50.92311180060564, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 102: omega: 1.3890296429382274, torque: 5.200569069633033, i_a: 59.87825672411562, i_e: 51.08963492957983, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 103: omega: 1.409782905917961, torque: 5.216999940902902, i_a: 59.875858148838134, i_e: 51.253102494503715, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 104: omega: 1.4306010414572516, torque: 5.233159744086208, i_a: 59.873865224454086, i_e: 51.41357167584213, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 105: omega: 1.4514829168894912, torque: 5.248980900603852, i_a: 59.871440433846296, i_e: 51.57109636098095, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 106: omega: 1.472427260100581, torque: 5.264543555731785, i_a: 59.869434920473196, i_e: 51.72573168620402, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 107: omega: 1.4934329845275394, torque: 5.279777148588094, i_a: 59.86698462895353, i_e: 51.87752954527982, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 108: omega: 1.5144988594371243, torque: 5.294764444659368, i_a: 59.864967659561906, i_e: 52.02654310446939, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 109: omega: 1.5356238428358358, torque: 5.309431819720481, i_a: 59.862492543023606, i_e: 52.172822336560884, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 110: omega: 1.5568067437286968, torque: 5.323864756534926, i_a: 59.86046522563501, i_e: 52.31641850925285, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 111: omega: 1.5780465632173173, torque: 5.337986483435271, i_a: 59.85796592170963, i_e: 52.45737974435147, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 112: omega: 1.5993421484571142, torque: 5.351885300093188, i_a: 59.85592933996631, i_e: 52.59575547985302, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 113: omega: 1.620692542228188, torque: 5.36548120019434, i_a: 59.85340644835253, i_e: 52.731592054037506, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 114: omega: 1.6420966283011338, torque: 5.378865402579168, i_a: 59.85136166213971, i_e: 52.86493714155337, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 115: omega: 1.6635534897737276, torque: 5.3919545759309555, i_a: 59.848815744989516, i_e: 52.99583536216042, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 116: omega: 1.685062045547192, torque: 5.404842963210959, i_a: 59.84676379110182, i_e: 53.124332691098736, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 117: omega: 1.7066214177300878, torque: 5.417443814549991, i_a: 59.84419537345731, i_e: 53.25047209225328, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 118: omega: 1.7282305589184543, torque: 5.429854504733363, i_a: 59.84213726630152, i_e: 53.37429790306795, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 119: omega: 1.7498886289768576, torque: 5.4419847685530005, i_a: 59.83954683657683, i_e: 53.49585149192376, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 120: omega: 1.7715946128072324, torque: 5.453935223129413, i_a: 59.83748356890164, i_e: 53.61517561783746, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 121: omega: 1.7933477068257269, torque: 5.465611987854005, i_a: 59.83487157940502, i_e: 53.73231011186551, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 122: omega: 1.8151469268963545, torque: 5.4771190355546535, i_a: 59.83280412305151, i_e: 53.84729621180488, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 123: omega: 1.836991504831088, torque: 5.488358766849712, i_a: 59.83017099054315, i_e: 53.96017226745516, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 124: omega: 1.8588804861555834, torque: 5.4994386265567226, i_a: 59.82810029720886, i_e: 54.07097805051754, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 125: omega: 1.8808131369689105, torque: 5.510257189805627, i_a: 59.82544640349078, i_e: 54.179750483567865, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 126: omega: 1.9027885311996533, torque: 5.520925492640534, i_a: 59.8233734055008, i_e: 54.28652792532759, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 127: omega: 1.9248059681707064, torque: 5.531338174617364, i_a: 59.82069909803578, i_e: 54.39134592322159, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 128: omega: 1.9468645489949903, torque: 5.541609985237383, i_a: 59.81862470911482, i_e: 54.494241474172455, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 129: omega: 1.968963605199875, torque: 5.551631515004438, i_a: 59.81593030167252, i_e: 54.595248800638025, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 130: omega: 1.9911022639026155, torque: 5.5615213521342195, i_a: 59.813855417711764, i_e: 54.694403587057735, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 131: omega: 2.0132798878581566, torque: 5.571165921191854, i_a: 59.81114119104018, i_e: 54.791738779286604, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 132: omega: 2.035495629045191, torque: 5.5806877774174115, i_a: 59.80906669085363, i_e: 54.8872887967989, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 133: omega: 2.0577488805103545, torque: 5.589969059132797, i_a: 59.80633289337432, i_e: 54.98108535545764, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 134: omega: 2.0800388179865723, torque: 5.599136419983377, i_a: 59.804259639439, i_e: 55.0731616555574, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 135: omega: 2.102364863915919, torque: 5.608067588324068, i_a: 59.801506487966385, i_e: 55.16354822789068, u_a: 60.0, u_e: 60.0, u_sup: 60.0
Motor 0, Step 136: omega: 2.1247262167126655, torque: 5.616893450666791, i_a: 59.79943532714111, i_e: 55.25227709768787, u_a: 60.0, u_e: 60.0, u_sup: 60.0
